id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
83,CPA2-15%HF-7day,10.1016/0011-9164(96)00047-1,Chemical treatment for improved performance of reverse osmosis membranes,1996,Mukherjee,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,SEM;XPS,No,2.33,0.49,4.7,98.57,98,Not available,17.24,0.043,,,1.86,CP calculated assuming kf = 100,1.4,,,141,,38.5,
84,SWC1-15%HF-4day,10.1016/0011-9164(96)00047-1,Chemical treatment for improved performance of reverse osmosis membranes,1996,Mukherjee,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,SEM;XPS,No,1.71,0.5282,3.2,98.4,97.8,Not available,24.13,0.09,,,3.74,CP calculated assuming kf = 100,1.38,,,141,,38.5,
85,SWC1-40%IPA-4day,10.1016/0011-9164(96)00047-1,Chemical treatment for improved performance of reverse osmosis membranes,1996,Mukherjee,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,SEM;XPS,No,1.57,0.499,3.1,98.36,97.8,Not available,24.13,0.09,,,3.74,CP calculated assuming kf = 100,1.35,,,141,,38.5,
86,XLE G2 PAMAM-PEG-1,10.1016/j.memsci.2009.12.005,Dendrimer-based coatings for surface modification of polyamide reverse osmosis membranes,2010,Sarkar,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,9.63,0.3822,25.2,99.3,98.8,Cross-flow,6.89,0.017,,,0.75,CP calculated assuming kf = 100,1.72,,,35,,,6.3
87,XLE G2 PAMAM-PEG-2,10.1016/j.memsci.2009.12.005,Dendrimer-based coatings for surface modification of polyamide reverse osmosis membranes,2010,Sarkar,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,9.62,0.4792,20.1,99.12,98.5,Cross-flow,6.89,0.017,,,0.75,CP calculated assuming kf = 100,1.72,,,18,,,6.3
88,ESPA1,10.1016/j.memsci.2006.02.041,Effects of polyether–polyamide block copolymer coating on performance and fouling of reverse osmosis membranes,2006,Louie,Polymeric TFC,,Polyamide,,No modification,,,No,8.64,0.8017,10.8,98.97,97.8,Cross-flow,11.3,0.025667,,,1.11,CP calculated assuming kf = 100,2.16,,,,,16.1,
89,ESPA1-PEBAX 1657,10.1016/j.memsci.2006.02.041,Effects of polyether–polyamide block copolymer coating on performance and fouling of reverse osmosis membranes,2006,Louie,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM,No,2.01,0.1647,12.2,99.18,99,Cross-flow,11.3,0.025667,,,1.13,CP calculated assuming kf = 100,1.22,,99,,,16.1,
90,ESPA3,10.1016/j.memsci.2006.02.041,Effects of polyether–polyamide block copolymer coating on performance and fouling of reverse osmosis membranes,2006,Louie,Polymeric TFC,,Polyamide,,No modification,,,No,7.15,0.9082,7.9,98.63,97.4,Cross-flow,11.3,0.025667,,,1.11,CP calculated assuming kf = 100,1.93,,153,,,16.1,
91,ESPA3-PEBAX 1657,10.1016/j.memsci.2006.02.041,Effects of polyether–polyamide block copolymer coating on performance and fouling of reverse osmosis membranes,2006,Louie,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.23,0.3388,3.6,97.34,96,Cross-flow,11.3,0.025667,,,1.1,CP calculated assuming kf = 100,1.5,,78,,,16.1,
94,M0,10.1016/j.desal.2014.07.040,Surface mineralization of commercial thin-film composite polyamide membrane by depositing barium sulfate for improved reverse osmosis performance and antifouling property,2014,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,Zeta potential,No,5.26,0.6211,8.5,97.46,96.8,Cross-flow,5,0.00856,,,0.37,CP calculated assuming kf = 100,1.27,,,65,,19,7
95,M1,10.1016/j.desal.2014.07.040,Surface mineralization of commercial thin-film composite polyamide membrane by depositing barium sulfate for improved reverse osmosis performance and antifouling property,2014,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,Zeta potential,No,5.54,0.5209,10.6,97.96,97.4,Cross-flow,5,0.00856,,,0.37,CP calculated assuming kf = 100,1.28,,,43,,19,7
96,M2,10.1016/j.desal.2014.07.040,Surface mineralization of commercial thin-film composite polyamide membrane by depositing barium sulfate for improved reverse osmosis performance and antifouling property,2014,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,Zeta potential,No,6.02,0.4225,14.2,98.47,98,Cross-flow,5,0.00856,,,0.37,CP calculated assuming kf = 100,1.31,,,41,,19,7
97,M4,10.1016/j.desal.2014.07.040,Surface mineralization of commercial thin-film composite polyamide membrane by depositing barium sulfate for improved reverse osmosis performance and antifouling property,2014,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,Zeta potential,No,6.56,0.4485,14.6,98.5,98,Cross-flow,5,0.00856,,,0.37,CP calculated assuming kf = 100,1.34,,,37,,19,7
98,M6,10.1016/j.desal.2014.07.040,Surface mineralization of commercial thin-film composite polyamide membrane by depositing barium sulfate for improved reverse osmosis performance and antifouling property,2014,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,Zeta potential,No,6.28,0.3909,16.1,98.64,98.2,Cross-flow,5,0.00856,,,0.37,CP calculated assuming kf = 100,1.33,,,37,,19,7
99,TFC,10.1016/j.cej.2015.08.134,Thin-film nanocomposite membrane with CNT positioning in support layer for energy harvesting from saline water,2016,Son,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM;TEM,No,1.69,1.2438,1.3587393471619231,91.95,90.83,Cross-flow,10,0.034,,,1.38,CP calculated assuming kf = 100,1.15,,,55.15,,30,
100,TFN,10.1016/j.cej.2015.08.134,Thin-film nanocomposite membrane with CNT positioning in support layer for energy harvesting from saline water,2016,Son,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;SEM;TEM,No,2.15,1.5856,1.359,91.9,90.46,Cross-flow,10,0.034,,,1.37,CP calculated assuming kf = 100,1.2,,,55.24,,30,
101,HR95PP-Fresh,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,No modification,,,No,1.91,0.56,3.410714285714285,98.45,97.8,Cross-flow,24.13,0.0855,,,3.73,CP calculated assuming kf = 100,1.43,,,,,,
102,HR95PP-5%HCl,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,2.33,0.59,3.9491525423728815,98.63,97.92,Cross-flow,24.13,0.0855,,,3.74,CP calculated assuming kf = 100,1.53,,,,,,
103,HR95PP-5%HNO3,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,2.36,0.91,2.593406593406593,97.94,96.86,Cross-flow,24.13,0.0855,,,3.7,CP calculated assuming kf = 100,1.54,,,,,,
104,HR95PP-5%H2SO4,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,2.61,1.06,2.462264150943396,97.83,96.55,Cross-flow,24.13,0.0855,,,3.69,CP calculated assuming kf = 100,1.61,,,,,,
105,HR95PP-5%H3PO4,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,2.94,0.98,3,98.17,96.95,Cross-flow,24.13,0.0855,,,3.7,CP calculated assuming kf = 100,1.69,,,,,,
106,HR98PP-Fresh,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,No modification,,,No,0.46,0.19,2.4210526315789473,97.93,97.74,Cross-flow,24.13,0.0855,,,3.73,CP calculated assuming kf = 100,1.1,,,,,,
107,HR98PP-5%HNO3,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,1,0.26,3.846153846153846,98.71,98.43,Cross-flow,24.13,0.0855,,,3.76,CP calculated assuming kf = 100,1.22,,,,,,
108,HR98PP-5%H3PO4,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,1.68,0.52,3.2307692307692304,98.41,97.82,Cross-flow,24.13,0.0855,,,3.73,CP calculated assuming kf = 100,1.38,,,,,,
109,HR98PP-5%H2SO4,10.1016/0376-7388(95)00271-5,Flux enhancement by hydrophilization of thin film composite reverse osmosis membranes,1996,Kulkami,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,,No,1.28,0.3,4.266666666666667,98.82,98.49,Cross-flow,24.13,0.0855,,,3.76,CP calculated assuming kf = 100,1.28,,,,,,
110,TFC,10.1016/j.desal.2017.04.019,Thin film nanocomposite membranes based on imologite nanotubes blended substrates for forward osmosis desalination,2017,Pan,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM;AFM,No,0.27,0.85,0.31764705882352945,61.36,58,Cross-flow,5,0.00342,,,0.09,As reported,-0.91,,114,,,4.91,
111,TFN 0.66,10.1016/j.desal.2017.04.019,Thin film nanocomposite membranes based on imologite nanotubes blended substrates for forward osmosis desalination,2017,Pan,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;SEM;AFM,No,3.03,2.92,1.0376712328767124,83.84,83,Cross-flow,5,0.00342,,,0.13,As reported,-0.95,,161,,,4.91,
112,TFN 0.33,10.1016/j.desal.2017.04.019,Thin film nanocomposite membranes based on imologite nanotubes blended substrates for forward osmosis desalination,2017,Pan,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;SEM;AFM,No,1.39,0.75,1.8533333333333333,90.26,88,Cross-flow,5,0.00342,,,0.13,As reported,-0.77,,144,,,4.91,
113,TFN 1.0,10.1016/j.desal.2017.04.019,Thin film nanocomposite membranes based on imologite nanotubes blended substrates for forward osmosis desalination,2017,Pan,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;SEM;AFM,No,3.38,4.37,0.7734553775743707,79.45,80,Cross-flow,5,0.00342,,,0.12,As reported,1,,172,,,4.91,
114,PAI-0,10.1016/j.memsci.2016.09.022,Enhanced both waterflux and salt rejection of reverse osmosismembrane through combining isophthaloyl dichloride with biphenyltetraacyl chloride as organic phase monomer for seawater desalination,2017,Zhao,Polymeric TFC,,Polyamide,,No modification,,FTIR;XPS;SEM,No,1.54,0.16,9.625,99.48,99.3,Cross-flow,55,0.5612,,,26.19,CP calculated assuming kf = 100,1.35,,50.9,75,,15.79,
115,PAI-30,10.1016/j.memsci.2016.09.022,Enhanced both waterflux and salt rejection of reverse osmosismembrane through combining isophthaloyl dichloride with biphenyltetraacyl chloride as organic phase monomer for seawater desalination,2017,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;XPS;SEM,No,2,0.12,16.666666666666668,99.65,99.5,Cross-flow,55,0.5612,,,26.24,CP calculated assuming kf = 100,1.42,,63.4,49,,15.79,
116,PAI-50,10.1016/j.memsci.2016.09.022,Enhanced both waterflux and salt rejection of reverse osmosismembrane through combining isophthaloyl dichloride with biphenyltetraacyl chloride as organic phase monomer for seawater desalination,2017,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.35,0.13,18.076923076923077,99.66,99.5,Cross-flow,55,0.5612,,,26.24,CP calculated assuming kf = 100,1.47,,,,,15.79,
117,PAI-60,10.1016/j.memsci.2016.09.022,Enhanced both waterflux and salt rejection of reverse osmosismembrane through combining isophthaloyl dichloride with biphenyltetraacyl chloride as organic phase monomer for seawater desalination,2017,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;XPS;SEM,No,2.6,0.08,32.5,99.8,99.7,Cross-flow,55,0.5612,,,26.29,CP calculated assuming kf = 100,1.5,,,,,15.79,
118,PAI-70,10.1016/j.memsci.2016.09.022,Enhanced both waterflux and salt rejection of reverse osmosismembrane through combining isophthaloyl dichloride with biphenyltetraacyl chloride as organic phase monomer for seawater desalination,2017,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;XPS;SEM,No,3.06,0.08,38.25,99.81,99.7,Cross-flow,55,0.5612,,,26.29,CP calculated assuming kf = 100,1.55,,73.1,44.7,,15.79,
119,PAI-80,10.1016/j.memsci.2016.09.022,Enhanced both waterflux and salt rejection of reverse osmosismembrane through combining isophthaloyl dichloride with biphenyltetraacyl chloride as organic phase monomer for seawater desalination,2017,Zhao,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;XPS;SEM,No,3.86,0.18,21.444444444444443,99.63,99.4,Cross-flow,55,0.5612,,,26.22,CP calculated assuming kf = 100,1.62,,93.4,41.6,,15.79,
120,Control,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,No modification,,FTIR,No,3.8,0.7616,4.989495798319327,98.44,97.5,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.62,,,,,,
121,Post-treatment-2,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR,No,3.68,0.7494,4.9,98.42,97.5,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.59,,,,,,
122,Post-treatment-1,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR,No,4.31,0.6474,6.7,98.81,97.98,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.71,,,,,,
123,Post-treatment-4,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR,No,4.31,0.5756,7.5,98.94,98.2,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.71,,,,,,
124,Post-treatment-3,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR,No,1.6,0.8886,1.8,95.96,95.06,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.24,,,,,,
125,Post-treatment-6,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR,No,1.17,0.6135,1.907090464547677,96.16,95.55,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.17,,,,,,
126,Post-treatment-5,10.1016/j.memsci.2007.05.025,Study on hypochlorite degradation of aromatic polyamide reverse osmosis membrane,2007,Kang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR,No,3.68,0.63,5.8,98.66,97.89,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.59,,,,,,
127,CTFC,10.1007/s10965-016-1167-2,Highly improved permeation property of thin-film-composite polyamide membrane for water desalination,2017,Zhang,Polymeric TFC,,Polyamide,,No modification,,XPS;FTIR;AFM;SEM,No,2.56,0.1666,15.366146458583433,99.52,99.32,Cross-flow,15.5,0.03422,,,1.51,CP calculated assuming kf = 100,1.41,,95.2,63.7,,42.2,6.8
128,STFC-0.01,10.1007/s10965-016-1167-2,Highly improved permeation property of thin-film-composite polyamide membrane for water desalination,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: additives,,XPS;FTIR;AFM;SEM,No,2.74,0.2872,9.540389972144848,99.22,98.88,Cross-flow,15.5,0.03422,,,1.5,CP calculated assuming kf = 100,1.44,,,64.4,,42.2,6.8
129,STFC-0.02,10.1007/s10965-016-1167-2,Highly improved permeation property of thin-film-composite polyamide membrane for water desalination,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: additives,,XPS;FTIR;AFM;SEM,No,3.01,0.2704,11.131656804733728,99.33,99,Cross-flow,15.5,0.03422,,,1.5,CP calculated assuming kf = 100,1.49,,,67.85,,42.2,6.8
130,STFC-0.03,10.1007/s10965-016-1167-2,Highly improved permeation property of thin-film-composite polyamide membrane for water desalination,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: additives,,XPS;FTIR;AFM;SEM,No,3.48,0.1804,19.290465631929045,99.61,99.38,Cross-flow,15.5,0.03422,,,1.51,CP calculated assuming kf = 100,1.58,,,67.2,,42.2,6.8
131,STFC-0.04,10.1007/s10965-016-1167-2,Highly improved permeation property of thin-film-composite polyamide membrane for water desalination,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: additives,,XPS;FTIR;AFM;SEM,No,3.73,0.1805,20.66481994459834,99.63,99.4,Cross-flow,15.5,0.03422,,,1.51,CP calculated assuming kf = 100,1.63,,,72.8,,42.2,6.8
132,STFC-0.05,10.1007/s10965-016-1167-2,Highly improved permeation property of thin-film-composite polyamide membrane for water desalination,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: additives,,XPS;FTIR;AFM;SEM,No,3.25,0.2591,12.543419529139328,99.4,99.08,Cross-flow,15.5,0.03422,,,1.51,CP calculated assuming kf = 100,1.53,,,69.55,,42.2,6.8
133,TFC-0,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,No modification,,PALS;AFM;Zeta potential;SEM;FTIR,No,0.437,0.034,12.85,96.64,96.6,Cross-flow,3,0.01711,,,1.38,CP calculated assuming kf = 100,1.01,,,67,,,
134,TFC-0.5,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: monomers,,PALS;AFM;Zeta potential;SEM;FTIR,No,0.925,0.095,9.73,95.62,95.5,Cross-flow,3,0.01711,,,1.45,CP calculated assuming kf = 100,1.03,,,52.5,,,
135,TFC-1.0,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: monomers,,PALS;AFM;Zeta potential;SEM;FTIR,No,1.073,0.141,7.61,95.62,94.4,Cross-flow,3,0.01711,,,1.45,CP calculated assuming kf = 100,1.28,,,45,,,
136,TFC-1.5,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: monomers,,PALS;AFM;Zeta potential;SEM;FTIR,No,1.439,0.197,7.3,94.43,94.2,Cross-flow,3,0.01711,,,1.43,CP calculated assuming kf = 100,1.04,,,42,,,
137,TFC-HPAN0,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR,No,0.349,0.076,4.59,90.99,90.9,Cross-flow,3,0.01711,,,1.38,CP calculated assuming kf = 100,1.01,,,77.5,,,
138,TFC-HPAN0.5,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR,No,0.829,0.135,6.14,93.16,93,Cross-flow,3,0.01711,,,1.41,CP calculated assuming kf = 100,1.03,,,65,,,
139,TFC-HPAN1.0,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR,No,0.797,0.093,8.569,95.01,94.9,Cross-flow,3,0.01711,,,1.44,CP calculated assuming kf = 100,1.02,,,62.5,,,
140,TFC-HPAN1.5,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR,No,0.778,0.087,8.94,95.21,95.1,Cross-flow,3,0.01711,,,1.45,CP calculated assuming kf = 100,1.02,,,56,,,
141,TFC-HPAN2.0,10.1016/j.memsci.2016.07.034,Novel thinfilm composite forward osmosis membrane of enhancedwaterflux and anti-fouling property with N-[3-(trimethoxysilyl)propyl] ethylenediamine incorporated,2016,Xiong,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR,No,0.765,0.077,9.93,95.7,95.6,Cross-flow,3,0.01711,,,1.45,CP calculated assuming kf = 100,1.02,,,56,,,
142,No modification,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,No modification,,,No,4.08,0.5979,6.823883592574009,98.86,98.1,Not available,15.2,0.034,,,1.47,CP calculated assuming kf = 100,1.68,,,,,,
143,Post-treatment-1,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.55,0.4117,1.3,94.78,94.4,Not available,15.2,0.034,,,1.47,CP calculated assuming kf = 100,1.08,,,,,,
144,Post-treatment-2,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.77,1.1638,2.4,96.9,95.6,Not available,15.2,0.034,,,1.47,CP calculated assuming kf = 100,1.44,,,,,,
